Wavelength,Flux
1195.0000, 8.8615e-03
1205.0000, 6.9450e-02
1215.0000, 6.0810e-01
1225.0000, 1.4370e-01
1235.0000, 6.2695e-03
1245.0000, 4.0755e-03
1255.0000, 3.3780e-03
1265.0000, 4.1625e-03
1275.0000, 2.4150e-03
1285.0000, 1.9545e-03
1295.0000, 4.6680e-03
1305.0000, 1.3810e-02
1315.0000, 4.4810e-03
1325.0000, 4.6495e-03
1335.0000, 1.9305e-02
1345.0000, 5.0630e-03
1355.0000, 4.1965e-03
1365.0000, 3.4325e-03
1375.0000, 3.2260e-03
1385.0000, 4.4945e-03
1395.0000, 8.8990e-03
1405.0000, 6.8195e-03
1415.0000, 4.6125e-03
1425.0000, 5.1210e-03
1435.0000, 5.5790e-03
1445.0000, 5.5705e-03
1455.0000, 6.0395e-03
1465.0000, 7.6935e-03
1475.0000, 9.1945e-03
1485.0000, 8.8510e-03
1495.0000, 8.6170e-03
1505.0000, 9.3970e-03
1515.0000, 1.0006e-02
1525.0000, 1.2685e-02
1535.0000, 1.4125e-02
1545.0000, 2.2625e-02
1555.0000, 2.3435e-02
1565.0000, 1.9820e-02
1575.0000, 1.8435e-02
1585.0000, 1.7945e-02
1595.0000, 1.8710e-02
1605.0000, 2.0700e-02
1615.0000, 2.3815e-02
1625.0000, 2.7030e-02
1635.0000, 3.0875e-02
1645.0000, 3.2145e-02
1655.0000, 4.6160e-02
1665.0000, 4.2740e-02
1675.0000, 4.1415e-02
1685.0000, 4.8405e-02
1695.0000, 6.2390e-02
1705.0000, 7.0175e-02
1715.0000, 7.3305e-02
1725.0000, 7.7200e-02
1735.0000, 8.1255e-02
1745.0000, 9.6355e-02
1755.0000, 1.1470e-01
1765.0000, 1.2990e-01
1775.0000, 1.4970e-01
1785.0000, 1.6460e-01
1795.0000, 1.6850e-01
1805.0000, 1.9605e-01
1815.0000, 2.3990e-01
1825.0000, 2.3965e-01
1835.0000, 2.3920e-01
1845.0000, 2.1935e-01
1855.0000, 2.4535e-01
1865.0000, 2.8700e-01
1875.0000, 3.1980e-01
1885.0000, 3.4945e-01
1895.0000, 3.7935e-01
1905.0000, 3.9925e-01
1915.0000, 4.4220e-01
1925.0000, 4.3775e-01
1935.0000, 4.0320e-01
1945.0000, 5.5310e-01
1955.0000, 5.7685e-01
1965.0000, 6.3705e-01
1975.0000, 6.5715e-01
1985.0000, 6.5555e-01
1995.0000, 7.0520e-01
2005.6490, 7.7565e-01
2015.6508, 8.4975e-01
2025.6526, 8.7310e-01
2035.6544, 9.7430e-01
2045.6562, 1.0835e+00
2055.6580, 1.1160e+00
2065.6600, 1.1720e+00
2075.6619, 1.3410e+00
2085.6638, 1.5850e+00
2095.6658, 2.2330e+00
2105.6677, 2.9165e+00
2115.6697, 3.5010e+00
2125.6716, 3.2705e+00
2135.6736, 3.4465e+00
2145.6755, 4.1725e+00
2155.6777, 3.7715e+00
2165.6797, 3.3635e+00
2175.6816, 3.6665e+00
2185.6838, 4.6215e+00
2195.6858, 4.8890e+00
2205.6880, 4.9330e+00
2215.6900, 4.1195e+00
2225.6921, 5.1570e+00
2235.6943, 6.5405e+00
2245.6965, 6.1255e+00
2255.6985, 5.4450e+00
2265.7007, 4.1100e+00
2275.7030, 4.1340e+00
2285.7050, 5.3965e+00
2295.7073, 4.9550e+00
2305.7095, 5.4160e+00
2315.7117, 5.2955e+00
2325.7139, 5.5275e+00
2335.7160, 4.6635e+00
2345.7183, 4.0555e+00
2355.7205, 5.3350e+00
2365.7227, 5.0550e+00
2375.7250, 5.0410e+00
2385.7273, 4.3610e+00
2395.7295, 4.5940e+00
2405.7317, 4.1095e+00
2415.7341, 5.3265e+00
2425.7363, 7.3245e+00
2435.7385, 6.9055e+00
2445.7410, 6.3400e+00
2455.7432, 5.1465e+00
2465.7456, 5.2450e+00
2475.7478, 5.7705e+00
2485.7502, 4.7485e+00
2495.7524, 5.8590e+00
