Wavelength,Reflectance,unc,flag
0.435,0.9004,0.0149,1
0.4375,0.9186,0.0128,1
0.44,0.9308,0.0117,1
0.4425,0.9394,0.0104,1
0.445,0.9355,0.0093,1
0.4475,0.935,0.0084,1
0.45,0.9231,0.0074,1
0.4525,0.9397,0.0069,1
0.455,0.9569,0.0065,1
0.4575,0.9479,0.006,1
0.46,0.9497,0.0056,1
0.4625,0.9534,0.0052,1
0.465,0.9556,0.0049,1
0.4675,0.9605,0.0046,1
0.47,0.9659,0.0044,1
0.4725,0.9591,0.0042,1
0.475,0.957,0.0039,1
0.4775,0.9653,0.0037,1
0.48,0.9648,0.0035,1
0.4825,0.9591,0.0033,1
0.485,0.9629,0.0032,1
0.4875,0.9758,0.0031,1
0.49,0.9859,0.0031,1
0.4925,0.9652,0.0029,1
0.495,0.9753,0.0028,1
0.4975,0.9759,0.0027,1
0.5,0.9752,0.0026,1
0.5025,0.985,0.0025,1
0.505,0.991,0.0025,1
0.5075,0.9838,0.0024,1
0.51,0.9794,0.0023,1
0.5125,0.9875,0.0022,1
0.515,0.9868,0.0022,1
0.5175,0.9919,0.0021,1
0.52,0.9973,0.0021,1
0.5225,1.0059,0.0021,1
0.525,0.9872,0.002,1
0.5275,0.9965,0.002,1
0.53,0.9983,0.0019,1
0.5325,1.0047,0.0019,1
0.535,0.9888,0.0018,1
0.5375,0.9978,0.0017,1
0.54,0.9939,0.0017,1
0.5425,0.9957,0.0016,1
0.545,1.006,0.0016,1
0.5475,0.9981,0.0016,1
0.55,0.9975,0.0016,1
0.5525,1.0025,0.0015,1
0.555,1.0024,0.0015,1
0.5575,1.0047,0.0015,1
0.56,1.0015,0.0015,1
0.5625,1.0086,0.0014,1
0.565,1.0104,0.0014,1
0.5675,1.0038,0.0014,1
0.57,1.0074,0.0014,1
0.5725,1.0077,0.0014,1
0.575,1.0095,0.0013,1
0.5775,1.0039,0.0013,1
0.58,1.0001,0.0013,1
0.5825,1.0043,0.0013,1
0.585,1.0045,0.0013,1
0.5875,0.999,0.0012,1
0.59,1.0039,0.0012,1
0.5925,1.0089,0.0012,1
0.595,1.0146,0.0012,1
0.5975,0.9989,0.0012,1
0.6,1.0017,0.0012,1
0.6025,1.0057,0.0012,1
0.605,1.0079,0.0012,1
0.6075,1.0063,0.0012,1
0.61,1.0064,0.0011,1
0.6125,1.0075,0.0011,1
0.615,1.0101,0.0011,1
0.6175,1.0134,0.0011,1
0.62,1.0157,0.0011,1
0.6225,1.0126,0.0011,1
0.625,1.0056,0.0011,1
0.6275,1.0143,0.0011,1
0.63,1.0134,0.0011,1
0.6325,1.012,0.0011,1
0.635,1.0106,0.0011,1
0.6375,1.0129,0.0011,1
0.64,1.0123,0.0011,1
0.6425,1.0113,0.0011,1
0.645,1.0142,0.0011,1
0.6475,1.0139,0.001,1
0.65,1.0122,0.001,1
0.6525,1.0139,0.001,1
0.655,1.0129,0.001,1
0.6575,1.0148,0.001,1
0.66,1.0227,0.0011,1
0.6625,1.0092,0.001,1
0.665,1.0091,0.001,1
0.6675,1.0115,0.001,1
0.67,1.0117,0.001,1
0.6725,1.0154,0.001,1
0.675,1.0157,0.001,1
0.6775,1.0153,0.001,1
0.68,1.0152,0.001,1
0.6825,1.0147,0.001,1
0.685,1.0158,0.001,1
0.6875,1.0217,0.001,1
0.69,1.0266,0.0011,1
0.6925,1.0131,0.001,1
0.695,1.0106,0.001,1
0.6975,1.0088,0.001,1
0.7,1.0162,0.001,1
0.7025,1.0186,0.001,1
0.705,1.0189,0.001,1
0.7075,1.0177,0.001,1
0.71,1.0188,0.001,1
0.7125,1.0166,0.001,1
0.715,1.0179,0.001,1
0.7175,1.0215,0.001,1
0.72,1.0288,0.001,1
0.7225,1.0274,0.0011,1
0.725,1.0248,0.0011,1
0.7275,1.0172,0.001,1
0.73,1.0251,0.0011,1
0.7325,1.0218,0.0011,1
0.735,1.0198,0.0011,1
0.7375,1.0192,0.0011,1
0.74,1.0196,0.0011,1
0.7425,1.0203,0.0011,1
0.745,1.0198,0.0011,1
0.7475,1.0183,0.0011,1
0.75,1.0161,0.0011,1
0.7525,1.018,0.0011,1
0.755,1.0229,0.0011,1
0.77,1.0143,0.0022,1
0.7725,1.0132,0.0013,1
0.775,1.0134,0.0011,1
0.7775,1.0168,0.0011,1
0.78,1.0181,0.0012,1
0.7825,1.0185,0.0012,1
0.785,1.0194,0.0012,1
0.7875,1.017,0.0012,1
0.79,1.0173,0.0012,1
0.7925,1.0232,0.0012,1
0.795,1.0186,0.0012,1
0.7975,1.0158,0.0012,1
0.8,1.0183,0.0012,1
0.8025,1.0176,0.0012,1
0.805,1.0193,0.0013,1
0.8075,1.0173,0.0013,1
